Cep;Latitude;Longitude;UF;Cidade
57303601;-9,3987824;-36,6216625;AL;
57600005;-9,4065239;-36,6301436;AL;PALMEIRA DOS ÍNDIOS
57600010;-9,4057959;-36,6310295;AL;PALMEIRA DOS ÍNDIOS
57600020;-9,4057607;-36,6299534;AL;PALMEIRA DOS ÍNDIOS
57600025;-9,4059746;-36,6298157;AL;PALMEIRA DOS ÍNDIOS
57600030;-9,4066579;-36,6303345;AL;PALMEIRA DOS ÍNDIOS
57600040;-9,4077483;-36,6292427;AL;PALMEIRA DOS ÍNDIOS
57600050;-9,406216;-36,6289507;AL;PALMEIRA DOS ÍNDIOS
57600055;-9,4014707;-36,6302808;AL;PALMEIRA DOS ÍNDIOS
57600060;-9,4055085;-36,6290085;AL;PALMEIRA DOS ÍNDIOS
57600070;-9,4070512;-36,6283491;AL;PALMEIRA DOS ÍNDIOS
57600080;-9,4073701;-36,6288626;AL;PALMEIRA DOS ÍNDIOS
57600090;-9,4069999;-36,629916;AL;PALMEIRA DOS ÍNDIOS
57600095;-9,4076184;-36,6307734;AL;PALMEIRA DOS ÍNDIOS
57600100;-9,4048706;-36,6298912;AL;PALMEIRA DOS ÍNDIOS
57600105;-9,4038929;-36,6296058;AL;PALMEIRA DOS ÍNDIOS
57600120;-9,4066545;-36,6312596;AL;PALMEIRA DOS ÍNDIOS
57600130;-9,4065392;-36,6317827;AL;PALMEIRA DOS ÍNDIOS
57600140;-9,4045328;-36,6280913;AL;PALMEIRA DOS ÍNDIOS
57600145;-9,4044325;-36,6271471;AL;PALMEIRA DOS ÍNDIOS
57600150;-9,4049867;-36,6279216;AL;PALMEIRA DOS ÍNDIOS
57600160;-9,4053249;-36,628436;AL;PALMEIRA DOS ÍNDIOS
57600170;-9,4057233;-36,6277096;AL;PALMEIRA DOS ÍNDIOS
57600180;-9,4067867;-36,6279134;AL;PALMEIRA DOS ÍNDIOS
57600190;-9,4074587;-36,6281139;AL;PALMEIRA DOS ÍNDIOS
57600200;-9,4073556;-36,6268977;AL;PALMEIRA DOS ÍNDIOS
57600205;-9,406106;-36,6331433;AL;PALMEIRA DOS ÍNDIOS
57600210;-9,4053404;-36,6266633;AL;PALMEIRA DOS ÍNDIOS
57600215;-9,4060724;-36,6264258;AL;PALMEIRA DOS ÍNDIOS
57600220;-9,4047045;-36,6260856;AL;PALMEIRA DOS ÍNDIOS
57600225;-9,4032838;-36,624615;AL;PALMEIRA DOS ÍNDIOS
57600230;-9,4048947;-36,6273348;AL;PALMEIRA DOS ÍNDIOS
57600240;-9,4031404;-36,6269631;AL;PALMEIRA DOS ÍNDIOS
57600250;-9,4039678;-36,6273801;AL;PALMEIRA DOS ÍNDIOS
57600260;-9,4037046;-36,6268599;AL;PALMEIRA DOS ÍNDIOS
57600270;-9,4038665;-36,6258728;AL;PALMEIRA DOS ÍNDIOS
57600280;-9,4022704;-36,6262157;AL;PALMEIRA DOS ÍNDIOS
57600290;-9,4074012;-36,6307734;AL;PALMEIRA DOS ÍNDIOS
57600300;-9,4076377;-36,6309561;AL;PALMEIRA DOS ÍNDIOS
57600310;-9,4082314;-36,629553;AL;PALMEIRA DOS ÍNDIOS
57600320;-9,4091585;-36,6303492;AL;PALMEIRA DOS ÍNDIOS
57600325;-9,4106022;-36,6299082;AL;PALMEIRA DOS ÍNDIOS
57600330;-9,4101314;-36,6305374;AL;PALMEIRA DOS ÍNDIOS
57600340;-9,4085774;-36,6308451;AL;PALMEIRA DOS ÍNDIOS
57600350;-9,4087929;-36,6317562;AL;PALMEIRA DOS ÍNDIOS
57600360;-9,4101129;-36,6308247;AL;PALMEIRA DOS ÍNDIOS
57600370;-9,4093038;-36,6310006;AL;PALMEIRA DOS ÍNDIOS
57600380;-9,4092162;-36,6310599;AL;PALMEIRA DOS ÍNDIOS
57600390;-9,4099885;-36,6321766;AL;PALMEIRA DOS ÍNDIOS
57600395;-9,4099172;-36,6331055;AL;PALMEIRA DOS ÍNDIOS
57600400;-9,406106;-36,6331433;AL;PALMEIRA DOS ÍNDIOS
57600405;-9,4090636;-36,6342997;AL;PALMEIRA DOS ÍNDIOS
57600410;-9,4075377;-36,631673;AL;PALMEIRA DOS ÍNDIOS
57600420;-9,4077203;-36,6320634;AL;PALMEIRA DOS ÍNDIOS
57600425;-9,4070056;-36,6344211;AL;
57600430;-9,4070056;-36,6344211;AL;PALMEIRA DOS ÍNDIOS
57600440;-9,404564;-36,6323829;AL;PALMEIRA DOS ÍNDIOS
57600450;-9,4049525;-36,632052;AL;PALMEIRA DOS ÍNDIOS
57600460;-9,4052702;-36,631598;AL;PALMEIRA DOS ÍNDIOS
57600465;-9,4041583;-36,6312517;AL;PALMEIRA DOS ÍNDIOS
57600470;-9,4045822;-36,6306355;AL;PALMEIRA DOS ÍNDIOS
57600480;-9,4045065;-36,6290763;AL;PALMEIRA DOS ÍNDIOS
57600540;-9,4031404;-36,6269631;AL;PALMEIRA DOS ÍNDIOS
57600550;-9,4027375;-36,6287666;AL;PALMEIRA DOS ÍNDIOS
57600555;-9,4019813;-36,6297042;AL;PALMEIRA DOS ÍNDIOS
57600560;-9,4009364;-36,6284903;AL;PALMEIRA DOS ÍNDIOS
57600565;-9,4031404;-36,6269631;AL;PALMEIRA DOS ÍNDIOS
57600570;-9,4038929;-36,6296058;AL;PALMEIRA DOS ÍNDIOS
57600575;-9,403213;-36,6290425;AL;PALMEIRA DOS ÍNDIOS
57600580;-9,4033367;-36,6295824;AL;PALMEIRA DOS ÍNDIOS
57600590;-9,4008245;-36,6301273;AL;PALMEIRA DOS ÍNDIOS
57600595;-9,4021763;-36,6299379;AL;PALMEIRA DOS ÍNDIOS
57600600;-9,4024202;-36,630788;AL;PALMEIRA DOS ÍNDIOS
57600610;-9,4036025;-36,6302727;AL;PALMEIRA DOS ÍNDIOS
57600620;-9,4026217;-36,6305248;AL;PALMEIRA DOS ÍNDIOS
57600630;-9,4021702;-36,6307226;AL;PALMEIRA DOS ÍNDIOS
57600640;-9,406106;-36,6331433;AL;PALMEIRA DOS ÍNDIOS
57600645;-9,4039742;-36,6310284;AL;PALMEIRA DOS ÍNDIOS
57600650;-9,4175234;-36,6217938;AL;PALMEIRA DOS ÍNDIOS
57600660;-9,4037833;-36,6314622;AL;PALMEIRA DOS ÍNDIOS
57600665;-9,4037197;-36,6314529;AL;PALMEIRA DOS ÍNDIOS
57600670;-9,4031649;-36,6316821;AL;PALMEIRA DOS ÍNDIOS
57600680;-9,4030868;-36,6320792;AL;PALMEIRA DOS ÍNDIOS
57600688;-9,406106;-36,6331433;AL;PALMEIRA DOS ÍNDIOS
57600690;-9,4022748;-36,6318903;AL;PALMEIRA DOS ÍNDIOS
57600703;-9,401045;-36,6332176;AL;PALMEIRA DOS ÍNDIOS
57600704;-9,4019691;-36,6328683;AL;PALMEIRA DOS ÍNDIOS
