Cep;Latitude;Longitude;UF;Cidade
40440365;-12,3516148;-38,3822299;BA;SALVADOR
45995010;-12,3516143;-38,3822503;BA;TEIXEIRA DE FREITAS
48015120;-12,3807147;-38,3822319;BA;
48015144;-12,3550864;-38,3756352;BA;
48110000;-12,3713805;-38,3852123;BA;CATU
48110959;-12,3535488;-38,3753915;BA;
48110970;-12,3713805;-38,3852123;BA;CATU
48110990;-12,379729;-38,3836855;BA;CATU
48110992;-12,3713805;-38,3852123;BA;CATU
48115000;-12,3713805;-38,3852123;BA;SÍTIO NOVO (CATU)
48115970;-12,3713805;-38,3852123;BA;SÍTIO NOVO (CATU)
48608125;-12,3713805;-38,3852123;BA;PAULO AFONSO
48608127;-12,3713805;-38,3852123;BA;PAULO AFONSO
