Cep;Latitude;Longitude;UF;Cidade
40220190;-12,228847;-38,9646923;BA;SALVADOR
40330640;-12,228847;-38,9646923;BA;SALVADOR
40710130;-12,228847;-38,9646923;BA;SALVADOR
40725315;-12,228847;-38,9646923;BA;SALVADOR
40740990;-12,228847;-38,9646923;BA;SALVADOR
41247200;-12,2555694;-38,9654118;BA;SALVADOR
41301255;-12,2819155;-38,951328;BA;SALVADOR
41600715;-12,228847;-38,9646923;BA;SALVADOR
41650015;-12,2279688;-38,934997;BA;SALVADOR
41741432;-12,3003024;-38,940969;BA;SALVADOR
41910285;-12,3003024;-38,940969;BA;SALVADOR
42739902;-12,241563;-38,9417283;BA;
42803030;-12,2535848;-38,9600762;BA;CAMAÇARI
42804520;-12,3001976;-38,9445669;BA;CAMAÇARI
43813900;-12,2989946;-38,9004837;BA;
44001001;-12,2483917;-38,958148;BA;FEIRA DE SANTANA
44001008;-12,2521957;-38,9547032;BA;FEIRA DE SANTANA
44001016;-12,2501344;-38,954102;BA;FEIRA DE SANTANA
44001024;-12,2190794;-38,9495541;BA;FEIRA DE SANTANA
44001032;-12,2500676;-38,9567229;BA;FEIRA DE SANTANA
44001040;-12,248317;-38,9571697;BA;FEIRA DE SANTANA
44001048;-12,249124;-38,9577259;BA;FEIRA DE SANTANA
44001056;-12,2491078;-38,9582059;BA;FEIRA DE SANTANA
44001060;-12,2201485;-38,9809144;BA;FEIRA DE SANTANA
44001064;-12,248697;-38,9582173;BA;FEIRA DE SANTANA
44001068;-12,2481092;-38,9593842;BA;FEIRA DE SANTANA
44001072;-12,2483789;-38,960195;BA;FEIRA DE SANTANA
44001080;-12,2483992;-38,9598442;BA;FEIRA DE SANTANA
44001085;-12,2484422;-38,9621026;BA;FEIRA DE SANTANA
44001096;-12,2498633;-38,9602296;BA;FEIRA DE SANTANA
44001104;-12,2495397;-38,9616807;BA;FEIRA DE SANTANA
44001112;-12,249576;-38,9608142;BA;FEIRA DE SANTANA
44001120;-12,2508794;-38,9613031;BA;FEIRA DE SANTANA
44001128;-12,2971027;-38,9139117;BA;FEIRA DE SANTANA
44001130;-12,2512465;-38,9626318;BA;FEIRA DE SANTANA
44001144;-12,2497074;-38,963301;BA;FEIRA DE SANTANA
44001168;-12,2542645;-38,9640259;BA;FEIRA DE SANTANA
44001170;-12,2547735;-38,962617;BA;FEIRA DE SANTANA
44001175;-12,254805;-38,9627775;BA;FEIRA DE SANTANA
