Cep;Latitude;Longitude;UF;Cidade
60010000;-3,7148801;-38,5459294;CE;FORTALEZA
60010010;-3,7212586;-38,5292468;CE;FORTALEZA
60010011;-3,7318616;-38,5266704;CE;FORTALEZA
60010020;-3,7168705;-38,5411898;CE;FORTALEZA
60010030;-3,7177741;-38,5413262;CE;FORTALEZA
60010040;-3,8125854;-38,4978828;CE;FORTALEZA
60010043;-3,7838326;-38,5076005;CE;FORTALEZA
60010060;-3,7318616;-38,5266704;CE;FORTALEZA
60010070;-3,7318616;-38,5266704;CE;FORTALEZA
60010080;-3,7184781;-38,5382317;CE;FORTALEZA
60010090;-3,7184781;-38,5382317;CE;FORTALEZA
60010100;-3,7281278;-38,5383238;CE;FORTALEZA
60010112;-3,7318616;-38,5266704;CE;FORTALEZA
60010120;-3,7186671;-38,5469642;CE;FORTALEZA
60010122;-3,7318616;-38,5266704;CE;FORTALEZA
60010130;-3,7201919;-38,5337107;CE;FORTALEZA
60010140;-3,7318616;-38,5266704;CE;FORTALEZA
60010150;-3,7197029;-38,5346465;CE;FORTALEZA
60010160;-3,7318616;-38,5266704;CE;FORTALEZA
60010170;-3,7198064;-38,5334499;CE;FORTALEZA
60010200;-3,7198064;-38,5334499;CE;FORTALEZA
60010210;-3,7212586;-38,5292468;CE;FORTALEZA
60010220;-3,7202681;-38,5316294;CE;FORTALEZA
60010230;-3,7318616;-38,5266704;CE;FORTALEZA
60010240;-3,7210976;-38,5383961;CE;FORTALEZA
60010250;-3,7237955;-38,5380772;CE;FORTALEZA
60010252;-3,7253914;-38,5230905;CE;FORTALEZA
60010260;-3,723462;-38,5391358;CE;FORTALEZA
60010262;-3,7217411;-38,538608;CE;FORTALEZA
60010270;-3,7231776;-38,5400387;CE;FORTALEZA
60010280;-3,7180429;-38,541636;CE;FORTALEZA
60010281;-3,7228397;-38,5410837;CE;FORTALEZA
60010320;-3,7253914;-38,5230905;CE;FORTALEZA
60010340;-3,7188893;-38,5594553;CE;FORTALEZA
60010390;-3,7185806;-38,5441742;CE;FORTALEZA
60010400;-3,7190666;-38,5445455;CE;FORTALEZA
