Cep;Latitude;Longitude;UF;Cidade
62500000;-3,4890231;-39,5765435;CE;ITAPIPOCA
62500001;-3,501829;-39,580976;CE;ITAPIPOCA
62500004;-3,5029006;-39,5818753;CE;ITAPIPOCA
62500007;-3,498671;-39,5811543;CE;ITAPIPOCA
62500010;-3,4948388;-39,5804316;CE;ITAPIPOCA
62500013;-3,4944459;-39,5778659;CE;ITAPIPOCA
62500016;-3,4967678;-39,5743876;CE;ITAPIPOCA
62500019;-3,4957066;-39,5809823;CE;ITAPIPOCA
62500022;-3,4951516;-39,58136;CE;ITAPIPOCA
62500025;-3,4973124;-39,5792863;CE;ITAPIPOCA
62500028;-3,4990063;-39,5788302;CE;ITAPIPOCA
62500031;-3,4986271;-39,5818032;CE;ITAPIPOCA
62500034;-3,4977309;-39,5830498;CE;ITAPIPOCA
62500037;-3,4990809;-39,5841806;CE;ITAPIPOCA
62500040;-3,5011301;-39,5784673;CE;ITAPIPOCA
62500043;-3,4999391;-39,5815286;CE;ITAPIPOCA
62500049;-3,5003421;-39,5819445;CE;ITAPIPOCA
62500052;-3,4986319;-39,5818241;CE;ITAPIPOCA
62500055;-3,5014424;-39,5806893;CE;ITAPIPOCA
62500058;-3,5012064;-39,5804186;CE;ITAPIPOCA
62500061;-3,5020167;-39,5806879;CE;ITAPIPOCA
62500070;-3,5007468;-39,5847727;CE;ITAPIPOCA
62500075;-3,4990646;-39,585002;CE;ITAPIPOCA
62500080;-3,4964339;-39,5836877;CE;ITAPIPOCA
62500085;-3,4999887;-39,5843616;CE;ITAPIPOCA
62500090;-3,4998993;-39,5920897;CE;ITAPIPOCA
62500095;-3,5007659;-39,5853513;CE;ITAPIPOCA
62500100;-3,4992236;-39,5842335;CE;ITAPIPOCA
62500105;-3,4992236;-39,5842335;CE;ITAPIPOCA
62500110;-3,5038571;-39,5858484;CE;ITAPIPOCA
62500190;-3,5004213;-39,595559;CE;ITAPIPOCA
62500200;-3,5010164;-39,5895235;CE;ITAPIPOCA
62500205;-3,5020479;-39,589497;CE;ITAPIPOCA
62500220;-3,5002928;-39,5912067;CE;ITAPIPOCA
62500225;-3,5002267;-39,5920561;CE;ITAPIPOCA
62500235;-3,501554;-39,5913503;CE;ITAPIPOCA
62500240;-3,5009755;-39,5917385;CE;ITAPIPOCA
62500245;-3,501554;-39,5913503;CE;ITAPIPOCA
62500250;-3,501554;-39,5913503;CE;ITAPIPOCA
62500255;-3,5009755;-39,5917385;CE;ITAPIPOCA
62500260;-3,5009075;-39,5854522;CE;ITAPIPOCA
62500265;-3,499274;-39,5834546;CE;ITAPIPOCA
62500270;-3,4861556;-39,6126334;CE;ITAPIPOCA
62500275;-3,4986055;-39,5856332;CE;ITAPIPOCA
62500280;-3,4861556;-39,6126334;CE;ITAPIPOCA
62500290;-3,4994996;-39,5908598;CE;ITAPIPOCA
62500295;-3,4984721;-39,5905754;CE;ITAPIPOCA
62500300;-3,4990028;-39,5928919;CE;ITAPIPOCA
62500305;-3,4975355;-39,5951701;CE;ITAPIPOCA
62500310;-3,4980553;-39,590342;CE;ITAPIPOCA
62500315;-3,499706;-39,5839241;CE;ITAPIPOCA
62500320;-3,4974688;-39,5902202;CE;ITAPIPOCA
62500325;-3,4969402;-39,593796;CE;ITAPIPOCA
62500330;-3,4965904;-39,5945577;CE;ITAPIPOCA
62500335;-3,4968254;-39,5946006;CE;ITAPIPOCA
62500340;-3,4972448;-39,5941143;CE;ITAPIPOCA
62500345;-3,49728;-39,5949381;CE;ITAPIPOCA
62500350;-3,499706;-39,5839241;CE;ITAPIPOCA
62500355;-3,498682;-39,5940833;CE;ITAPIPOCA
62500360;-3,4986218;-39,5926289;CE;ITAPIPOCA
62500365;-3,4970047;-39,5919238;CE;ITAPIPOCA
62500370;-3,499706;-39,5839241;CE;ITAPIPOCA
62500375;-3,499706;-39,5839241;CE;ITAPIPOCA
62500380;-3,499706;-39,5839241;CE;ITAPIPOCA
62500385;-3,4985366;-39,596065;CE;ITAPIPOCA
62500390;-3,500734;-39,5923287;CE;ITAPIPOCA
62500450;-3,4998979;-39,5921869;CE;ITAPIPOCA
62500455;-3,501452;-39,5959175;CE;ITAPIPOCA
62500460;-3,5010952;-39,5956343;CE;ITAPIPOCA
62500465;-3,500273;-39,5951975;CE;ITAPIPOCA
62500470;-3,5002732;-39,5952022;CE;ITAPIPOCA
